edge_id,benchmark_id,harm_id,ev_id,Bench: Title,Harm: Category ,Harm: Subcategory,Harm: Domain,Harm: Subdomain,strength,basis,confidence,annotator,version,notes
bmh64,B54.01.01,7.03.18,19.05.05,Assessing the Alignment of Large Language Models With Human Values for Mental Health Integration: Cross-Sectional Study Using Schwartz’s Theory of Basic Values,Ethical AI Risks ,Incompatibility of human vs. AI value judgment due to missing human qualities ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,Schwartz PVQ-RR profiling quantifies divergence of model value profiles from a 53k-person human benchmark - direct measure of human-AI value (in)compatibility. Validated against a large human population sample.
bmh65,B55.01.01,7.03.19,19.05.01,Beyond Ethical Alignment: Evaluating LLMs as Artificial Moral Assistants (AMAeval),Ethical AI Risks ,AI sets rules without ethical basis,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,AMAeval scores explicit deductive/abductive moral reasoning; weak reasoning = normative outputs lacking an ethical basis. Strong-proxy for norm-setting-without-ethical-basis.
bmh66,B55.01.01,7.03.11,27.01.08,Beyond Ethical Alignment: Evaluating LLMs as Artificial Moral Assistants (AMAeval),Typical safety scenarios ,Ethics and Morality ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,Cross-link: explicit moral-reasoning quality also bears on machine-ethics / moral-judgment failures (7.03.11).
bmh67,B56.01.01,7.03.20,20.02.01,Normative Evaluation of Large Language Models with Everyday Moral Dilemmas,AI Ethics ,AI-rulemaking for human behaviour ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,AITA normative evaluation has models pass behavioural-normative verdicts on everyday human conduct and compares them to human community consensus - a strong proxy for AI rule-making over human behaviour. Validated against human community judgments.
bmh68,B57.01.01,7.03.21,20.02.02,WorldValuesBench: A Large-Scale Benchmark Dataset for Multi-Cultural Value Awareness of Language Models,AI Ethics ,Compatibility of AI vs. human value judgement ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,WorldValuesBench scores how closely model value predictions match human survey distributions (Wasserstein distance) - direct measure of AI-vs-human value-judgment compatibility. Validated against WVS human data.
bmh69,B58.01.01,7.03.21,20.02.02,Towards Measuring the Representation of Subjective Global Opinions in Language Models (GlobalOpinionQA),AI Ethics ,Compatibility of AI vs. human value judgement ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,"GlobalOpinionQA measures whose human opinions a model most resembles, by country - a strong proxy for AI-vs-human value-judgment compatibility. Validated against cross-national human survey data."
bmh70,B59.01.01,7.03.16,19.05.03,Value Portrait: Understanding Values of LLMs with Human-aligned Benchmark,Ethical AI Risks ,Problem of defining human values for an AI system,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,"Value Portrait elicits a model's value orientations using psychometrically validated, human-correlated items - a strong, validated probe of whether the system's values can be specified/identified. Validated against human value scores."
bmh71,B60.01.01,7.03.17,19.05.04,NormAd: A Framework for Measuring the Cultural Adaptability of Large Language Models,Ethical AI Risks ,Misinterpretation of human value definitions/ ethics by AI systems,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,NormAd tests whether a model correctly applies a norm even when it is explicitly provided (best <82% vs humans >95%); failures are exactly misinterpretation of specified values/norms. Validated against human acceptability judgments.
bmh72,B61.01.01,7.03.18,19.05.05,The Greatest Good Benchmark: Measuring LLMs' Alignment with Utilitarian Moral Dilemmas,Ethical AI Risks ,Incompatibility of human vs. AI value judgment due to missing human qualities ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,"Greatest Good Benchmark quantifies divergence of model moral judgments from lay-population standards - a strong, human-validated measure of human-AI value-judgment incompatibility."
bmh73,B62.01.01,7.03.19,19.05.01,LLM Ethics Benchmark: a three-dimensional assessment system for evaluating moral reasoning in large language models,Ethical AI Risks ,AI sets rules without ethical basis,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,"LLM Ethics Benchmark scores foundational moral principles, reasoning robustness and value consistency; low scores indicate normative outputs lacking principled grounding. Strong-proxy for norm-setting-without-ethical-basis."
bmh74,B48.01.01,7.03.19,19.05.01,"MoReBench: Evaluating Procedural and Pluralistic Moral Reasoning in Language Models, More than Outcomes",Ethical AI Risks ,AI sets rules without ethical basis,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,"Cross-link: MoReBench grades the procedural moral-reasoning process (rubric criteria), directly indicating whether a normative output is reasoned from ethics rather than ungrounded. Also already mapped to 7.03.15."
bmh75,B63.01.01,7.03.20,20.02.01,GAIN: A Benchmark for Goal-Aligned Decision-Making of Large Language Models under Imperfect Norms,AI Ethics ,AI-rulemaking for human behaviour ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,"GAIN measures how models adjudicate norm-vs-goal conflicts in decisions affecting people (hiring, support, etc.) - a strong proxy for AI rule-making over human behaviour. Validated against human decision patterns."
bmh76,B64.01.01,7.03.20,20.02.01,Recognition Without Authorization: LLMs and the Moral Order of Online Advice,AI Ethics ,AI-rulemaking for human behaviour ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,Recognition Without Authorization measures how often models issue directive authorizations steering human action vs human community consensus - directly operationalizes AI directing human behaviour. Validated against community-endorsed advice.
bmh77,B65.01.01,7.03.21,20.02.02,MVPBench: A Benchmark and Fine-Tuning Framework for Aligning Large Language Models with Diverse Human Values,AI Ethics ,Compatibility of AI vs. human value judgement ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,"MVPBench scores alignment of model value preferences with human values across 75 countries - a strong, human-validated measure of AI-vs-human value-judgment compatibility."
bmh78,B66.01.01,7.04.01,62.18.05,FaithCoT-Bench: Benchmarking Instance-Level Faithfulness of Chain-of-Thought Reasoning,Model Evaluations (Interpretability/Explainability) ,Model outputs inconsistent with chain-of-thought reasoning,"7. AI System Safety, Failures, & Limitations",7.4 > Lack of transparency or interpretability,direct,face-validity-only,probable,claude,1,FaithCoT-Bench detects whether a specific CoT trajectory is unfaithful to the model's internal reasoning - a direct operationalization of the harm.
