provision_id,parent_id,jurisdiction,instrument_type,binding_force,citation,obligation_type,bound_date,enforced_date,version,notes
P.EU.CoP.SS.A1.1.1,P.EU.CoP.SS.A1.1,EU,code-of-practice,guidance,CoP Appendix A1.1 (1) Risks to public health.,,,,,
P.EU.CoP.SS.A1.1.2,P.EU.CoP.SS.A1.1,EU,code-of-practice,guidance,"CoP Appendix A1.1 (2) Risks to safety.
",,,,,
P.EU.CoP.SS.A1.1.3,P.EU.CoP.SS.A1.1,EU,code-of-practice,guidance,"CoP Appendix A1.1 (3) Risks to public security.
",,,,,
P.EU.CoP.SS.A1.1.4,P.EU.CoP.SS.A1.1,EU,code-of-practice,guidance,"CoP Appendix A1.1 (4) Risks to fundamental rights.
",,,,,
P.EU.CoP.SS.A1.1.5,P.EU.CoP.SS.A1.1,EU,code-of-practice,guidance,CoP Appendix A1.1 (5) Risks to society as a whole.,,,,,
P.EU.CoP.SS.A1.4,P.EU.CoP.SS,EU,code-of-practice,guidance,CoP Appendix A1.4 Specified systemic risks,,,,,
P.EU.CoP.SS.A1.4.1,P.EU.CoP.SS.A1.4,EU,code-of-practice,guidance,"CoP Appendix A1.4 (1) Chemical, biological, radiological and nuclear",,,,,
P.EU.CoP.SS.A1.4.2,P.EU.CoP.SS.A1.4,EU,code-of-practice,guidance,CoP Appendix A1.4 (2) Loss of control,,,,,
P.EU.CoP.SS.A1.4.3,P.EU.CoP.SS.A1.4,EU,code-of-practice,guidance,CoP Appendix A1.4 (3) Cyber offence,,,,,
P.EU.CoP.SS.A1.4.4,P.EU.CoP.SS.A1.4,EU,code-of-practice,guidance,CoP Appendix A1.4 (4) Harmful manipulation,,,,,
P.EU.CoP.SS.A1.2,P.EU.CoP.SS,EU,code-of-practice,guidance,CoP Appendix A1.2 Nature of systemic risks,,,,,
P.EU.CoP.SS.A1.2.1,P.EU.CoP.SS.A1.2,EU,code-of-practice,guidance,CoP Appendix A1.2.1 Essential characteristics,,,,,
P.EU.CoP.SS.A1.2.2,P.EU.CoP.SS.A1.2,EU,code-of-practice,guidance,CoP Appendix A1.2.2 Contributing characteristics,,,,,
P.EU.CoP.SS.A1.2.1.1,P.EU.CoP.SS.A1.2.1,EU,code-of-practice,guidance,CoP Appendix A1.2.1 (1) The risk is specific to high-impact capabilities,,,,,
P.EU.CoP.SS.A1.2.1.2,P.EU.CoP.SS.A1.2.1,EU,code-of-practice,guidance,CoP Appendix A1.2.1 (2) The risk has significant impact on the Union market,,,,,
P.EU.CoP.SS.A1.2.1.3,P.EU.CoP.SS.A1.2.1,EU,code-of-practice,guidance,CoP Appendix A1.2.1 (3) The impact can be propagated at scale across the value chain,,,,,
P.EU.CoP.SS.A1.2.2.1,P.EU.CoP.SS.A1.2.2,EU,code-of-practice,guidance,CoP Appendix A1.2.2 (1) Capability-dependent,,,,,
P.EU.CoP.SS.A1.2.2.2,P.EU.CoP.SS.A1.2.2,EU,code-of-practice,guidance,CoP Appendix A1.2.2 (2) Reach-dependent,,,,,
P.EU.CoP.SS.A1.2.2.3,P.EU.CoP.SS.A1.2.2,EU,code-of-practice,guidance,CoP Appendix A1.2.2 (3) High velocity,,,,,
P.EU.CoP.SS.A1.2.2.4,P.EU.CoP.SS.A1.2.2,EU,code-of-practice,guidance,CoP Appendix A1.2.2 (4) Compounding or cascading,,,,,
P.EU.CoP.SS.A1.2.2.5,P.EU.CoP.SS.A1.2.2,EU,code-of-practice,guidance,CoP Appendix A1.2.2 (5) Difficult or impossible to reverse,,,,,
P.EU.CoP.SS.A1.2.2.6,P.EU.CoP.SS.A1.2.2,EU,code-of-practice,guidance,CoP Appendix A1.2.2 (6) Asymmetric impact,,,,,
P.EU.CoP.SS.A1.3,P.EU.CoP.SS,EU,code-of-practice,guidance,CoP Appendix A1.3 Sources of systemic risks,,,,,
P.EU.CoP.SS.A1.3.1,P.EU.CoP.SS.A1.3,EU,code-of-practice,guidance,CoP Appendix A1.3.1 Model capabilities,,,,,
P.EU.CoP.SS.A1.3.2,P.EU.CoP.SS.A1.3,EU,code-of-practice,guidance,CoP Appendix A1.3.2 Model propensities,,,,,
P.EU.CoP.SS.A1.3.3,P.EU.CoP.SS.A1.3,EU,code-of-practice,guidance,CoP Appendix A1.3.3 Model affordances and other systemic risk sources,,,,,
P.EU.CoP.SS.A1.3.1.1,P.EU.CoP.SS.A1.3.1,EU,code-of-practice,guidance,CoP Appendix A1.3.1 (1) offensive cyber capabilities,,,,,
P.EU.CoP.SS.A1.3.1.2,P.EU.CoP.SS.A1.3.1,EU,code-of-practice,guidance,"CoP Appendix A1.3.1 (2) Chemical, Biological, Radiological, and Nuclear (CBRN) capabilities, and other such weapon acquisition or proliferation capabilities;
",,,,,
P.EU.CoP.SS.A1.3.1.3,P.EU.CoP.SS.A1.3.1,EU,code-of-practice,guidance,"CoP Appendix A1.3.1 (3) capabilities that could cause the persistent and serious infringement of fundamental rights;
",,,,,
P.EU.CoP.SS.A1.3.1.4,P.EU.CoP.SS.A1.3.1,EU,code-of-practice,guidance,"CoP Appendix A1.3.1 (4) capabilities to manipulate, persuade, or deceive",,,,,
P.EU.CoP.SS.A1.3.1.5,P.EU.CoP.SS.A1.3.1,EU,code-of-practice,guidance,CoP Appendix A1.3.1 (5) capabilities to operate autonomously,,,,,
P.EU.CoP.SS.A1.3.1.6,P.EU.CoP.SS.A1.3.1,EU,code-of-practice,guidance,CoP Appendix A1.3.1 (6) capabilities to adaptively learn new tasks,,,,,
P.EU.CoP.SS.A1.3.1.7,P.EU.CoP.SS.A1.3.1,EU,code-of-practice,guidance,"CoP Appendix A1.3.1 (7) capabilities of long-horizon planning, forecasting, or strategising",,,,,
P.EU.CoP.SS.A1.3.1.8,P.EU.CoP.SS.A1.3.1,EU,code-of-practice,guidance,CoP Appendix A1.3.1 (8) capabilities of self-reasoning,,,,,
P.EU.CoP.SS.A1.3.1.9,P.EU.CoP.SS.A1.3.1,EU,code-of-practice,guidance,CoP Appendix A1.3.1 (9) capabilities to evade human oversight,,,,,
P.EU.CoP.SS.A1.3.1.10,P.EU.CoP.SS.A1.3.1,EU,code-of-practice,guidance,"CoP Appendix A1.3.1 (10) capabilities to self-replicate, self-improve, or modify its own implementation environment",,,,,
P.EU.CoP.SS.A1.3.1.11,P.EU.CoP.SS.A1.3.1,EU,code-of-practice,guidance,CoP Appendix A1.3.1 (11) capabilities to automate AI research and development,,,,,
P.EU.CoP.SS.A1.3.1.12,P.EU.CoP.SS.A1.3.1,EU,code-of-practice,guidance,CoP Appendix A1.3.1 (12) capabilities to process multiple modalities,,,,,
P.EU.CoP.SS.A1.3.1.13,P.EU.CoP.SS.A1.3.1,EU,code-of-practice,guidance,"CoP Appendix A1.3.1 (13) capabilities to use tools, including ""computer use""",,,,,
P.EU.CoP.SS.A1.3.1.14,P.EU.CoP.SS.A1.3.1,EU,code-of-practice,guidance,CoP Appendix A1.3.1 (14) capabilities to control physical systems,,,,,
P.EU.CoP.SS.A1.3.2.1,P.EU.CoP.SS.A1.3.2,EU,code-of-practice,guidance,CoP Appendix A1.3.2 (1) misalignment with human intent,,,,,
P.EU.CoP.SS.A1.3.2.2,P.EU.CoP.SS.A1.3.2,EU,code-of-practice,guidance,CoP Appendix A1.3.2 (2) misalignment with human values (e.g. disregard for fundamental rights),,,,,
P.EU.CoP.SS.A1.3.2.3,P.EU.CoP.SS.A1.3.2,EU,code-of-practice,guidance,CoP Appendix A1.3.2 (3) tendency to deploy capabilities in harmful ways,,,,,
P.EU.CoP.SS.A1.3.2.4,P.EU.CoP.SS.A1.3.2,EU,code-of-practice,guidance,"CoP Appendix A1.3.2 (4) tendency to ""hallucinate"", to produce misinformation, or to obscure sources of information
",,,,,
P.EU.CoP.SS.A1.3.2.5,P.EU.CoP.SS.A1.3.2,EU,code-of-practice,guidance,CoP Appendix A1.3.2 (5) discriminatory bias,,,,,
P.EU.CoP.SS.A1.3.2.6,P.EU.CoP.SS.A1.3.2,EU,code-of-practice,guidance,CoP Appendix A1.3.2 (6) lack of performance reliability,,,,,
P.EU.CoP.SS.A1.3.2.7,P.EU.CoP.SS.A1.3.2,EU,code-of-practice,guidance,CoP Appendix A1.3.2 (7) lawlessness,,,,,
P.EU.CoP.SS.A1.3.2.8,P.EU.CoP.SS.A1.3.2,EU,code-of-practice,guidance,"CoP Appendix A1.3.2 (8) ""goal-pursuing"", harmful resistance to goal modification, or ""power-seeking""",,,,,
P.EU.CoP.SS.A1.3.2.9,P.EU.CoP.SS.A1.3.2,EU,code-of-practice,guidance,"CoP Appendix A1.3.2 (9) ""colluding"" with other AI models/systems",,,,,
P.EU.CoP.SS.A1.3.2.10,P.EU.CoP.SS.A1.3.2,EU,code-of-practice,guidance,CoP Appendix A1.3.2 (10) mis-coordination or conflict with other AI models/systems,,,,,
P.EU.CoP.SS.A1.3.3.1,P.EU.CoP.SS.A1.3.3,EU,code-of-practice,guidance,"CoP Appendix A1.3.3 (1) access to tools, computational power, or physical systems",,,,,
P.EU.CoP.SS.A1.3.3.2,P.EU.CoP.SS.A1.3.3,EU,code-of-practice,guidance,CoP Appendix A1.3.3 (2) scalability,,,,,
P.EU.CoP.SS.A1.3.3.3,P.EU.CoP.SS.A1.3.3,EU,code-of-practice,guidance,CoP Appendix A1.3.3 (3) release and distribution strategies,,,,,
P.EU.CoP.SS.A1.3.3.4,P.EU.CoP.SS.A1.3.3,EU,code-of-practice,guidance,CoP Appendix A1.3.3 (4) level of human oversight,,,,,
P.EU.CoP.SS.A1.3.3.5,P.EU.CoP.SS.A1.3.3,EU,code-of-practice,guidance,CoP Appendix A1.3.3 (5) vulnerability to adversarial removal of guardrails,,,,,
P.EU.CoP.SS.A1.3.3.6,P.EU.CoP.SS.A1.3.3,EU,code-of-practice,guidance,CoP Appendix A1.3.3 (6) vulnerability to model exfiltration,,,,,
P.EU.CoP.SS.A1.3.3.7,P.EU.CoP.SS.A1.3.3,EU,code-of-practice,guidance,CoP Appendix A1.3.3 (7) lack of appropriate infrastructure security,,,,,
P.EU.CoP.SS.A1.3.3.8,P.EU.CoP.SS.A1.3.3,EU,code-of-practice,guidance,"CoP Appendix A1.3.3 (8) number of business users and number of end-users of the model, including the number of end-users using an AI system in which the model is integrated",,,,,
P.EU.CoP.SS.A1.3.3.9,P.EU.CoP.SS.A1.3.3,EU,code-of-practice,guidance,"CoP Appendix A1.3.3 (9) offence-defence balance, including the potential number, capacity, and motivation of malicious actors to misuse the model",,,,,
P.EU.CoP.SS.A1.3.3.10,P.EU.CoP.SS.A1.3.3,EU,code-of-practice,guidance,CoP Appendix A1.3.3 (10) vulnerability of the specific environment potentially affected by the model,,,,,
P.EU.CoP.SS.A1.3.3.11,P.EU.CoP.SS.A1.3.3,EU,code-of-practice,guidance,CoP Appendix A1.3.3 (11) lack of appropriate model explainability or transparency,,,,,
P.EU.CoP.SS.A1.3.3.12,P.EU.CoP.SS.A1.3.3,EU,code-of-practice,guidance,CoP Appendix A1.3.3 (12) interactions with other AI models and/or AI systems,,,,,
P.EU.CoP.SS.A1.3.3.13,P.EU.CoP.SS.A1.3.3,EU,code-of-practice,guidance,CoP Appendix A1.3.3 (13) inappropriate use of the model,,,,,
P.EU.AIA.R110,P.EU.AIA.R110,EU,regulation,soft-law,EU AI Act Recital 110 Circumstances under which a model could pose a systemic risk,,,,,
